# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:34:36 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
2,FS,238,0:07.231.993,7.416 us,11 B,,14,00,      DATA0 packet,C3 00 09 01 00 00 00 00 00 27 25,,".........'%"
2,FS,239,0:07.232.002,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,240,0:07.232.011,7.166 us,0 B,,14,00,   IN txn,,,""
2,FS,241,0:07.232.011,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
2,FS,242,0:07.232.014,2.083 us,3 B,,14,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,243,0:07.232.017,750 ns,1 B,,14,00,      ACK packet,D2,,"."
0,FS,244,0:07.232.844,2.083 us,,,,,[1 SOF],,[Frame: 1231] ,""
0,FS,245,0:07.233.165,101.583 us,2 B,,14,00,Control Transfer,80 00,,".."
1,FS,246,0:07.233.165,12.333 us,8 B,,14,00,   SETUP txn,C0 90 00 00 00 00 02 00,,"........"
2,FS,247,0:07.233.165,2.083 us,3 B,,14,00,      SETUP packet,2D 0E E0,,"-.."
2,FS,248,0:07.233.168,7.416 us,11 B,,14,00,      DATA0 packet,C3 C0 90 00 00 00 00 02 00 22 CD,,".........""."
2,FS,249,0:07.233.177,750 ns,1 B,,14,00,      ACK packet,D2,,"."
1,FS,250,0:07.233.187,68.750 us,2 B,,14,00,   IN txn   [3 POLL],80 00,,".."
2,FS,251,0:07.233.187,44.416 us,,,14,00,      [3 IN-NAK],,,""
2,FS,252,0:07.233.247,2.083 us,3 B,,14,00,      IN packet,69 0E E0,,"i.."
